Institution Address,Latitude,Longitude
3030 Birchmount Rd,43.8028785,-79.3086337
740 Pape Ave,43.6801265,-79.3458056
610 Universtiy Ave,,
303 Queens Dr,,
8 The Donway E,43.7346103,-79.3408873
505 Kingston Rd,43.677571,-79.3024083
15 Barberry Pl,43.7663824,-79.3839657
10/14 William Morgan Dr,43.7089887,-79.3413987
138 Dowling Ave,43.6371793,-79.4391835
8 Donway Pl,43.7346103,-79.3408873
28 Halton St,43.6487735,-79.4191156
650 Church St,43.7076644,-79.5124493
187 Wynford Dr,43.7246835,-79.3260685
43 Wellesley St E,43.665097,-79.3822927
700 & 720 Mount Pleasant Rd,43.7001226,-79.3866143
8 Bridlington St,43.7708425,-79.2395458
3276 St Clair Ave E - & West,,
55 Belmont,43.6744982,-79.3917014
600 University Ave - 12 South & EXAU,,
60 Scottfield Dr - 6th Fl,,
215 Tyrell Ave,,
2111 Finch Ave W,43.7540762,-79.5263296
550 University Ave - University Centre - 6 South,,
2111 Finch Ave W - 6 West,43.7737897,-79.4429564
250 College St - EPU 10th Fl,,
"700 & 720 Mount Pleasant Rd - 6th, 7th, 8th & 9th Fl",,
150 Sherway Dr - Complex Care Unit,,
3276 St Clair Ave E - Juniper House,,
3197 Lake Shore Blvd W,43.5970667,-79.5184678
1001 Queen St W - Unit 1-3,,
140 Sherway Dr - 2nd & 4th Fl,,
650 Church St - 5th Fl,,
921 Millwood Rd,43.7029279,-79.3635915
300 Silver Star Blvd,43.8126135,-79.2948335
71 Humberline Dr,43.7332532,-79.6182217
3276 St Clair Ave E - 2nd Fl East (Spruce/Chestnut),,
200 Church St,43.6555259,-79.3771525
877 Yonge St,43.674274,-79.3879807
2100 Bloor St W - 2nd & 3rd Fl - Tower A,,
1 Kenton Dr,43.7787683,-79.4409595
211 Finch Ave W,43.7755633,-79.4338722
150 Kilgour Rd - BIRT Wing 3rd Fl,,
15 Summerland Terr,43.644187,-79.5325226
"1001 Queen St W -  GAU A & B, 2nd & 3rd Fl",,
2111 Finch Ave W - Southlake Regional Health Centre - 5 East,,
3278 St Clair Ave E,43.7185579,-79.2519762
"82 Buttonwood Ave - 2nd Fl (Hughes/Pritti), 3rd Fl (Glenwyld",,
155 Millwood Rd,43.6996703,-79.3924539
35 Elm Grove Rd,,
3760 Sheppard Ave,43.7828345,-79.2938789
14 William Morgan Dr,43.7092398,-79.341784
"130 Dunn Ave - South 3, 4 & 5",,
3197 Lakeshore Blvd,43.5970667,-79.5184678
130 Dunn Avenue,43.6351082,-79.4329038
14 Cross Street,43.6480626,-79.4284488
1400 Kennedy Road,43.762677,-79.2806132
